,Column_ID,Column_Name,Data_Type,Total_Records,Target,Prediction_Type
0,1,Suburb,object,34857,Price,Regression
1,2,Address,object,34857,Price,Regression
2,3,Rooms,int64,34857,Price,Regression
3,4,Type,object,34857,Price,Regression
4,5,Price,float64,27247,Price,Regression
5,6,Method,object,34857,Price,Regression
6,7,SellerG,object,34857,Price,Regression
7,8,Date,object,34857,Price,Regression
8,9,Distance,float64,34856,Price,Regression
9,10,Postcode,float64,34856,Price,Regression
10,11,Bedroom2,float64,26640,Price,Regression
11,12,Bathroom,float64,26631,Price,Regression
12,13,Car,float64,26129,Price,Regression
13,14,Landsize,float64,23047,Price,Regression
14,15,BuildingArea,float64,13742,Price,Regression
15,16,YearBuilt,float64,15551,Price,Regression
16,17,CouncilArea,object,34854,Price,Regression
17,18,Lattitude,float64,26881,Price,Regression
18,19,Longtitude,float64,26881,Price,Regression
19,20,Regionname,object,34854,Price,Regression
20,21,Propertycount,float64,34854,Price,Regression
