Model Name,weights_column,offset_column,fold_column,fold_assessment,stopping_rounds,max_runtime_secs,stopping_metric,stopping_tolerance,balance_classes,class_sampling_factors,max_after_balance_size,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,seed,sample_rate,sample_rate_per_class,col_sample_rate_per_tree,col_sample_rate_change_per_level,min_split_improvement,histogram_type,learn_rate,learn_rate_annealing,col_sample_rate,max_abs_leafnode_pred,pred_noise_bandwidth,distribution,tweedie_power,quantile_alpha,huber_alpha,categorical_encoding
GBM_4_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,61,15,100.0,20,1024,1024,3078818369627870710,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_2_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,61,15,100.0,20,1024,1024,3078818369627870710,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_3_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,61,15,100.0,20,1024,1024,3078818369627870710,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_1_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,61,15,100.0,20,1024,1024,3078818369627870710,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_5_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,61,15,100.0,20,1024,1024,3078818369627870710,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_grid_1_AutoML_20190416_233703_model_1,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,318,5,100.0,20,1024,1024,3171531577495013694,0.9,NULL,0.7,1.0,1e-05,AUTO,0.001,1.0,1.0,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_1_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,62,15,100.0,20,1024,1024,7372367767816309807,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_grid_1_AutoML_20190417_092107_model_1,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,82,16,30.0,20,1024,1024,5237574280126203006,0.8,NULL,0.7,1.0,0.0001,AUTO,0.1,1.0,0.4,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_1_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,64,15,100.0,20,1024,1024,4082354481697489202,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_2_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,62,15,100.0,20,1024,1024,7372367767816309807,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
GBM_2_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0.0,deviance,0.0070215647432795535,False,NULL,5.0,64,15,100.0,20,1024,1024,4082354481697489202,0.8,NULL,0.8,1.0,1e-05,AUTO,0.1,1.0,0.8,1.7976931348623157e+308,0.0,gaussian,1.5,0.5,0.9,AUTO
